trade_id,trade_date,settlement_date,counterparty,asset,trade_type,currency,expected_amounts,settled_amount,status,break_amount,abs_break_amount,risk_level,break_direction
TRD000001,2025-03-05,2025-03-09,BARCLAYS,SENSEX,BUY,GBP,1873326.05,1591832.47,SETTLED,281493.5800000001,281493.5800000001,medium,underpayment
TRD000008,2025-10-15,2025-10-17,JP MORGAN,MSFT,SELL,EUR,4331014.55,2913543.51,SETTLED,1417471.04,1417471.04,high,underpayment
TRD000017,2025-11-29,2025-12-01,HSBC,RELIANCE,BUY,JPY,1521906.97,1049991.56,FAILED,471915.4099999999,471915.4099999999,medium,underpayment
TRD000032,2025-07-16,2025-07-17,MORGAN STANLEY,AAPL,BUY,EUR,853450.09,439178.43,SETTLED,414271.66,414271.66,medium,underpayment
TRD000045,2025-06-28,2025-07-03,MORGAN STANLEY,MSFT,SELL,GBP,1294641.13,1430164.46,SETTLED,-135523.33000000007,135523.33000000007,medium,over payment
TRD000060,2025-12-23,2025-12-28,CITI BANK,GOOGL,SELL,INR,1627326.32,1693193.27,PENDING,-65866.94999999995,65866.94999999995,low,over payment
TRD000063,2025-03-01,2025-03-04,MORGAN STANLEY,AAPL,SELL,JPY,4143858.81,5924896.85,FAILED,-1781038.0399999996,1781038.0399999996,high,over payment
TRD000066,2025-06-20,2025-06-21,JP MORGAN,NIFTY50,SELL,GBP,2713937.72,2655546.96,SETTLED,58390.76000000024,58390.76000000024,low,underpayment
TRD000075,2025-10-31,2025-11-03,GOLDMAN SACHS,SENSEX,BUY,GBP,3534579.86,2544152.19,SETTLED,990427.6699999999,990427.6699999999,medium,underpayment
TRD000081,2025-09-01,2025-09-06,BARCLAYS,RELIANCE,BUY,EUR,4315654.03,2690811.67,FAILED,1624842.3600000003,1624842.3600000003,high,underpayment
TRD000082,2025-04-08,2025-04-12,DEUTSCHE BANK,TCS,SELL,JPY,3116867.34,1828418.32,SETTLED,1288449.0199999998,1288449.0199999998,high,underpayment
